Index,Lat,Lon,Alt (MSL),Alt (HAE),jamind,SVs Used,Fix type (GPS) valid,Fix type (GPS),UTC,GPS time,noise (GPS),DGPS,HDOP,PDOP
0,,,,,,0,No,,21:56:27.500 ??/??/????,,,No,0.8,1.2
1,,,,,11.8,10,No,,21:56:28.000 02/02/2026,2404:165406.000,61,No,0.9,1.9
2,53.09999050,49.97992117,1002.600,996.200,10.2,10,Yes,3D,21:56:29.000 02/02/2026,2404:165407.000,60,No,0.9,1.9
3,53.09991850,49.97954000,1004.400,998.000,11.0,10,Yes,3D,21:56:30.000 02/02/2026,2404:165408.000,56,No,0.9,1.9
4,53.09985067,49.97914950,1004.500,998.100,10.2,10,Yes,3D,21:56:31.000 02/02/2026,2404:165409.000,57,No,0.9,1.9
5,53.09978283,49.97876617,1004.200,997.800,10.6,10,Yes,3D,21:56:32.000 02/02/2026,2404:165410.000,57,No,0.9,1.9
6,53.09971517,49.97837533,1004.100,997.700,11.0,10,Yes,3D,21:56:33.000 02/02/2026,2404:165411.000,57,No,0.9,1.9
7,53.09964950,49.97797633,1003.100,996.700,11.4,10,Yes,3D,21:56:34.000 02/02/2026,2404:165412.000,56,No,0.9,1.9
8,53.09958767,49.97757517,1001.500,995.100,11.4,10,Yes,3D,21:56:35.000 02/02/2026,2404:165413.000,56,No,0.9,1.9
9,53.09952817,49.97716600,998.800,992.400,10.2,10,Yes,3D,21:56:36.000 02/02/2026,2404:165414.000,56,No,0.9,1.9
10,53.09947317,49.97680033,990.000,983.600,11.0,10,Yes,3D,21:56:37.000 02/02/2026,2404:165415.000,56,No,0.9,1.9
11,53.09942417,49.97640883,986.400,980.000,10.2,10,Yes,3D,21:56:38.000 02/02/2026,2404:165416.000,56,No,0.9,1.9
12,53.09937800,49.97601100,984.100,977.700,10.6,10,Yes,3D,21:56:39.000 02/02/2026,2404:165417.000,56,No,0.9,1.9
13,53.09930350,49.97564967,982.800,976.400,11.4,10,Yes,3D,21:56:40.000 02/02/2026,2404:165418.000,56,No,0.9,1.9
14,53.09924683,49.97523567,989.500,983.100,11.0,10,Yes,3D,21:56:41.000 02/02/2026,2404:165419.000,56,No,0.9,1.9
15,53.09920117,49.97481567,990.100,983.700,10.6,10,Yes,3D,21:56:42.000 02/02/2026,2404:165420.000,56,No,0.9,1.9
16,53.09916283,49.97440033,990.000,983.600,11.4,10,Yes,3D,21:56:43.000 02/02/2026,2404:165421.000,56,No,0.9,1.9
17,53.09913200,49.97398500,989.900,983.500,11.0,10,Yes,3D,21:56:44.000 02/02/2026,2404:165422.000,56,No,0.9,1.9
18,53.09910383,49.97357033,989.500,983.100,10.2,10,Yes,3D,21:56:45.000 02/02/2026,2404:165423.000,56,No,0.9,1.9
19,53.09913317,49.97315767,995.900,989.500,11.4,10,Yes,3D,21:56:46.000 02/02/2026,2404:165424.000,56,No,1.1,2.2
20,53.09915000,49.97274650,1000.200,993.800,9.8,10,Yes,3D,21:56:47.000 02/02/2026,2404:165425.000,57,No,0.9,1.9
21,53.09917000,49.97232583,1004.000,997.600,10.6,10,Yes,3D,21:56:48.000 02/02/2026,2404:165426.000,56,No,0.9,1.9
22,53.09918000,49.97189750,1006.900,1000.500,12.2,10,Yes,3D,21:56:49.000 02/02/2026,2404:165427.000,56,No,1.0,2.0
23,53.09918083,49.97146717,1009.300,1002.900,11.4,10,Yes,3D,21:56:50.000 02/02/2026,2404:165428.000,56,No,1.0,2.1
24,53.09918117,49.97104217,1011.200,1004.800,12.2,10,Yes,3D,21:56:51.000 02/02/2026,2404:165429.000,56,No,1.0,2.1
25,53.09918533,49.97061917,1012.700,1006.300,12.2,10,Yes,3D,21:56:52.000 02/02/2026,2404:165430.000,56,No,1.1,2.3
26,53.09919083,49.97020233,1012.300,1005.900,12.2,10,Yes,3D,21:56:53.000 02/02/2026,2404:165431.000,56,No,1.1,2.3
